Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
54,CA-2022-010059,2021-06-11,2021-06-14,First Class,CUS-01110,Margaret Jones,Home Office,United States,Los Angeles,California,46559,West,FUR-TAB-84691,Furniture,Tables,Sauder Palladia Desk,972.57,7,0.3,59.79
55,CA-2022-010059,2021-06-11,2021-06-14,First Class,CUS-01110,Margaret Jones,Home Office,United States,Los Angeles,California,46559,West,FUR-TAB-84691,Furniture,Tables,Sauder Palladia Desk,972.57,7,0.3,59.79
56,CA-2022-010059,2021-06-11,2021-06-14,First Class,CUS-01110,Margaret Jones,Home Office,United States,Los Angeles,California,46559,West,FUR-TAB-84691,Furniture,Tables,Sauder Palladia Desk,972.57,7,0.3,59.79
57,CA-2020-010063,2020-03-10,2020-03-13,First Class,CUS-01044,Robert Wilson,Corporate,United States,Columbus,Ohio,46211,Central,OFF-BIN-35042,Office Supplies,Binders,Mead Flex Binder,10.74,7,0.5,-1.46
58,CA-2020-010063,2020-03-10,2020-03-13,First Class,CUS-01044,Robert Wilson,Corporate,United States,Columbus,Ohio,46211,Central,OFF-BIN-35042,Office Supplies,Binders,Mead Flex Binder,10.74,7,0.5,-1.46
59,CA-2022-010067,2021-07-06,2021-07-11,Standard Class,CUS-01038,Thomas Clark,Home Office,United States,Portland,Oregon,41890,West,FUR-BOO-82544,Furniture,Bookcases,Sauder Cottage Road Bookcase,260.88,7,0.3,49.76
60,CA-2022-010067,2021-07-06,2021-07-11,Standard Class,CUS-01038,Thomas Clark,Home Office,United States,Portland,Oregon,41890,West,FUR-BOO-82544,Furniture,Bookcases,Sauder Cottage Road Bookcase,260.88,7,0.3,49.76
61,CA-2022-010067,2021-07-06,2021-07-11,Standard Class,CUS-01038,Thomas Clark,Home Office,United States,Portland,Oregon,41890,West,FUR-BOO-82544,Furniture,Bookcases,Sauder Cottage Road Bookcase,260.88,7,0.3,49.76
62,CA-2022-010067,2021-07-06,2021-07-11,Standard Class,CUS-01038,Thomas Clark,Home Office,United States,Portland,Oregon,41890,West,FUR-BOO-82544,Furniture,Bookcases,Sauder Cottage Road Bookcase,260.88,7,0.3,49.76
63,CA-2021-010071,2020-05-29,2020-06-01,Second Class,CUS-01093,Patricia Garcia,Corporate,United States,San Francisco,California,25670,West,OFF-SUP-34267,Office Supplies,Supplies,Scotch Magic Tape,17.02,8,0.2,5.79
64,CA-2021-010071,2020-05-29,2020-06-01,Second Class,CUS-01093,Patricia Garcia,Corporate,United States,San Francisco,California,25670,West,OFF-SUP-34267,Office Supplies,Supplies,Scotch Magic Tape,17.02,8,0.2,5.79
65,CA-2021-010071,2020-05-29,2020-06-01,Second Class,CUS-01093,Patricia Garcia,Corporate,United States,San Francisco,California,25670,West,OFF-SUP-34267,Office Supplies,Supplies,Scotch Magic Tape,17.02,8,0.2,5.79
66,CA-2019-010074,2020-08-29,2020-09-02,Second Class,CUS-01023,Betty Garcia,Corporate,United States,Chicago,Illinois,80010,Central,TEC-ACC-17146,Technology,Accessories,Logitech MX Master Mouse,216.73,3,0.5,-9.87
67,CA-2021-010076,2021-09-07,2021-09-08,Same Day,CUS-01024,Daniel Miller,Home Office,United States,Boston,Massachusetts,72616,East,TEC-PHO-74454,Technology,Phones,Motorola Moto G,91.03,1,0,9.98
68,CA-2021-010076,2021-09-07,2021-09-08,Same Day,CUS-01024,Daniel Miller,Home Office,United States,Boston,Massachusetts,72616,East,TEC-PHO-74454,Technology,Phones,Motorola Moto G,91.03,1,0,9.98
69,CA-2021-010076,2021-09-07,2021-09-08,Same Day,CUS-01024,Daniel Miller,Home Office,United States,Boston,Massachusetts,72616,East,TEC-PHO-74454,Technology,Phones,Motorola Moto G,91.03,1,0,9.98
70,CA-2019-010080,2019-08-31,2019-08-31,Same Day,CUS-01100,Donald Jackson,Home Office,United States,Charlotte,North Carolina,68028,South,FUR-FUR-84531,Furniture,Furnishings,Master Caster Doorstop,615.29,10,0,263.99
71,CA-2019-010080,2019-08-31,2019-08-31,Same Day,CUS-01100,Donald Jackson,Home Office,United States,Charlotte,North Carolina,68028,South,FUR-FUR-84531,Furniture,Furnishings,Master Caster Doorstop,615.29,10,0,263.99
72,CA-2020-010082,2022-09-14,2022-09-19,Standard Class,CUS-01031,Patricia Davis,Consumer,United States,Phoenix,Arizona,19838,West,TEC-PHO-69048,Technology,Phones,Motorola Moto G,1895.19,8,0.2,119.5
73,CA-2020-010082,2022-09-14,2022-09-19,Standard Class,CUS-01031,Patricia Davis,Consumer,United States,Phoenix,Arizona,19838,West,TEC-PHO-69048,Technology,Phones,Motorola Moto G,1895.19,8,0.2,119.5
74,CA-2020-010082,2022-09-14,2022-09-19,Standard Class,CUS-01031,Patricia Davis,Consumer,United States,Phoenix,Arizona,19838,West,TEC-PHO-69048,Technology,Phones,Motorola Moto G,1895.19,8,0.2,119.5
75,CA-2021-010085,2019-05-26,2019-05-30,Second Class,CUS-01101,David Johnson,Home Office,United States,Portland,Oregon,25043,West,OFF-LAB-29528,Office Supplies,Labels,Maco Laser Labels,32.25,3,0,2.38
76,CA-2021-010085,2019-05-26,2019-05-30,Second Class,CUS-01101,David Johnson,Home Office,United States,Portland,Oregon,25043,West,OFF-LAB-29528,Office Supplies,Labels,Maco Laser Labels,32.25,3,0,2.38
77,CA-2021-010085,2019-05-26,2019-05-30,Second Class,CUS-01101,David Johnson,Home Office,United States,Portland,Oregon,25043,West,OFF-LAB-29528,Office Supplies,Labels,Maco Laser Labels,32.25,3,0,2.38
78,CA-2021-010089,2019-09-12,2019-09-13,Same Day,CUS-01090,James Williams,Consumer,United States,Miami,Florida,75597,South,OFF-STO-20543,Office Supplies,Storage,Smead Filing Box,284.44,7,0.3,82.91
79,CA-2019-010093,2022-10-12,2022-10-19,Standard Class,CUS-01106,John Perez,Consumer,United States,Columbus,Ohio,15273,Central,TEC-COP-46458,Technology,Copiers,Xerox B210,775.18,10,0.4,-117.8
80,CA-2019-010093,2022-10-12,2022-10-19,Standard Class,CUS-01106,John Perez,Consumer,United States,Columbus,Ohio,15273,Central,TEC-COP-46458,Technology,Copiers,Xerox B210,775.18,10,0.4,-117.8
81,CA-2019-010093,2022-10-12,2022-10-19,Standard Class,CUS-01106,John Perez,Consumer,United States,Columbus,Ohio,15273,Central,TEC-COP-46458,Technology,Copiers,Xerox B210,775.18,10,0.4,-117.8
82,CA-2019-010093,2022-10-12,2022-10-19,Standard Class,CUS-01106,John Perez,Consumer,United States,Columbus,Ohio,15273,Central,TEC-COP-46458,Technology,Copiers,Xerox B210,775.18,10,0.4,-117.8
83,CA-2019-010095,2020-12-13,2020-12-14,Same Day,CUS-01042,Linda Jones,Home Office,United States,Philadelphia,Pennsylvania,53228,East,FUR-FUR-96846,Furniture,Furnishings,Master Caster Doorstop,538.39,9,0,124.87
84,CA-2019-010095,2020-12-13,2020-12-14,Same Day,CUS-01042,Linda Jones,Home Office,United States,Philadelphia,Pennsylvania,53228,East,FUR-FUR-96846,Furniture,Furnishings,Master Caster Doorstop,538.39,9,0,124.87
85,CA-2019-010095,2020-12-13,2020-12-14,Same Day,CUS-01042,Linda Jones,Home Office,United States,Philadelphia,Pennsylvania,53228,East,FUR-FUR-96846,Furniture,Furnishings,Master Caster Doorstop,538.39,9,0,124.87
86,CA-2021-010099,2019-08-26,2019-08-26,Same Day,CUS-01085,Richard Miller,Home Office,United States,Charlotte,North Carolina,17104,South,TEC-MAC-91609,Technology,Machines,Dymo LabelWriter 450,1445.28,8,0,189.94
87,CA-2021-010099,2019-08-26,2019-08-26,Same Day,CUS-01085,Richard Miller,Home Office,United States,Charlotte,North Carolina,17104,South,TEC-MAC-91609,Technology,Machines,Dymo LabelWriter 450,1445.28,8,0,189.94
88,CA-2021-010102,2022-12-01,2022-12-01,Same Day,CUS-01004,Jennifer Lee,Corporate,United States,Seattle,Washington,50730,West,OFF-BIN-63476,Office Supplies,Binders,Mead Flex Binder,3.17,2,0.5,-0.68
89,CA-2021-010102,2022-12-01,2022-12-01,Same Day,CUS-01004,Jennifer Lee,Corporate,United States,Seattle,Washington,50730,West,OFF-BIN-63476,Office Supplies,Binders,Mead Flex Binder,3.17,2,0.5,-0.68
90,CA-2022-010106,2021-11-08,2021-11-11,First Class,CUS-01107,Anthony White,Home Office,United States,Charlotte,North Carolina,41946,South,FUR-TAB-34983,Furniture,Tables,Sauder Palladia Desk,2514.41,9,0,994.73
91,CA-2022-010106,2021-11-08,2021-11-11,First Class,CUS-01107,Anthony White,Home Office,United States,Charlotte,North Carolina,41946,South,FUR-TAB-34983,Furniture,Tables,Sauder Palladia Desk,2514.41,9,0,994.73
92,CA-2022-010106,2021-11-08,2021-11-11,First Class,CUS-01107,Anthony White,Home Office,United States,Charlotte,North Carolina,41946,South,FUR-TAB-34983,Furniture,Tables,Sauder Palladia Desk,2514.41,9,0,994.73
93,CA-2022-010109,2021-11-05,2021-11-07,First Class,CUS-01037,William Davis,Home Office,United States,Columbus,Ohio,86011,Central,OFF-STO-68529,Office Supplies,Storage,Avery Lateral File,56.15,6,0.3,15.2
94,CA-2022-010109,2021-11-05,2021-11-07,First Class,CUS-01037,William Davis,Home Office,United States,Columbus,Ohio,86011,Central,OFF-STO-68529,Office Supplies,Storage,Avery Lateral File,56.15,6,0.3,15.2
95,CA-2022-010109,2021-11-05,2021-11-07,First Class,CUS-01037,William Davis,Home Office,United States,Columbus,Ohio,86011,Central,OFF-STO-68529,Office Supplies,Storage,Avery Lateral File,56.15,6,0.3,15.2
96,CA-2022-010109,2021-11-05,2021-11-07,First Class,CUS-01037,William Davis,Home Office,United States,Columbus,Ohio,86011,Central,OFF-STO-68529,Office Supplies,Storage,Avery Lateral File,56.15,6,0.3,15.2
97,CA-2022-010112,2020-01-22,2020-01-27,Second Class,CUS-01050,David Taylor,Consumer,United States,Portland,Oregon,15720,West,FUR-FUR-59968,Furniture,Furnishings,Lorell Dry-Erase Board,61.63,3,0.5,-13.44
98,CA-2022-010112,2020-01-22,2020-01-27,Second Class,CUS-01050,David Taylor,Consumer,United States,Portland,Oregon,15720,West,FUR-FUR-59968,Furniture,Furnishings,Lorell Dry-Erase Board,61.63,3,0.5,-13.44
99,CA-2021-010115,2021-06-20,2021-06-27,Standard Class,CUS-01117,David Taylor,Home Office,United States,Houston,Texas,28894,South,FUR-TAB-71537,Furniture,Tables,IKEA Bekant Desk,637.71,5,0.3,190.87
100,CA-2021-010115,2021-06-20,2021-06-27,Standard Class,CUS-01117,David Taylor,Home Office,United States,Houston,Texas,28894,South,FUR-TAB-71537,Furniture,Tables,IKEA Bekant Desk,637.71,5,0.3,190.87
101,CA-2021-010115,2021-06-20,2021-06-27,Standard Class,CUS-01117,David Taylor,Home Office,United States,Houston,Texas,28894,South,FUR-TAB-71537,Furniture,Tables,IKEA Bekant Desk,637.71,5,0.3,190.87
102,CA-2021-010115,2021-06-20,2021-06-27,Standard Class,CUS-01117,David Taylor,Home Office,United States,Houston,Texas,28894,South,FUR-TAB-71537,Furniture,Tables,IKEA Bekant Desk,637.71,5,0.3,190.87
103,CA-2019-010116,2022-10-13,2022-10-14,Same Day,CUS-01081,Daniel Anderson,Corporate,United States,Nashville,Tennessee,14705,South,OFF-PAP-92727,Office Supplies,Paper,Hammermill Premium Copy Paper,44.48,5,0.1,15.51
104,CA-2019-010116,2022-10-13,2022-10-14,Same Day,CUS-01081,Daniel Anderson,Corporate,United States,Nashville,Tennessee,14705,South,OFF-PAP-92727,Office Supplies,Paper,Hammermill Premium Copy Paper,44.48,5,0.1,15.51
105,CA-2019-010116,2022-10-13,2022-10-14,Same Day,CUS-01081,Daniel Anderson,Corporate,United States,Nashville,Tennessee,14705,South,OFF-PAP-92727,Office Supplies,Paper,Hammermill Premium Copy Paper,44.48,5,0.1,15.51
106,CA-2019-010116,2022-10-13,2022-10-14,Same Day,CUS-01081,Daniel Anderson,Corporate,United States,Nashville,Tennessee,14705,South,OFF-PAP-92727,Office Supplies,Paper,Hammermill Premium Copy Paper,44.48,5,0.1,15.51
107,CA-2019-010119,2021-06-27,2021-07-02,Second Class,CUS-01039,Sandra Lee,Corporate,United States,New York,New York,52516,East,TEC-ACC-59131,Technology,Accessories,Belkin Surge Protector,138.94,4,0.4,-19.2
108,CA-2019-010119,2021-06-27,2021-07-02,Second Class,CUS-01039,Sandra Lee,Corporate,United States,New York,New York,52516,East,TEC-ACC-59131,Technology,Accessories,Belkin Surge Protector,138.94,4,0.4,-19.2
109,CA-2020-010120,2019-06-11,2019-06-11,Same Day,CUS-01064,Sandra Miller,Home Office,United States,Seattle,Washington,70443,West,OFF-FAS-43466,Office Supplies,Fasteners,Acme Scissors,131.23,8,0.2,42.13
110,CA-2020-010120,2019-06-11,2019-06-11,Same Day,CUS-01064,Sandra Miller,Home Office,United States,Seattle,Washington,70443,West,OFF-FAS-43466,Office Supplies,Fasteners,Acme Scissors,131.23,8,0.2,42.13
111,CA-2019-010122,2020-12-08,2020-12-11,First Class,CUS-01089,Michael Johnson,Home Office,United States,Kansas City,Missouri,49599,Central,TEC-COP-23979,Technology,Copiers,Xerox B210,1361.84,10,0.3,381.21
112,CA-2019-010122,2020-12-08,2020-12-11,First Class,CUS-01089,Michael Johnson,Home Office,United States,Kansas City,Missouri,49599,Central,TEC-COP-23979,Technology,Copiers,Xerox B210,1361.84,10,0.3,381.21
113,CA-2019-010122,2020-12-08,2020-12-11,First Class,CUS-01089,Michael Johnson,Home Office,United States,Kansas City,Missouri,49599,Central,TEC-COP-23979,Technology,Copiers,Xerox B210,1361.84,10,0.3,381.21
114,CA-2019-010126,2020-07-16,2020-07-23,Standard Class,CUS-01111,Lisa Taylor,Corporate,United States,Washington,District of Columbia,75107,East,FUR-TAB-56179,Furniture,Tables,Realspace Magellan Corner Desk,464.96,4,0.2,149.31
115,CA-2019-010126,2020-07-16,2020-07-23,Standard Class,CUS-01111,Lisa Taylor,Corporate,United States,Washington,District of Columbia,75107,East,FUR-TAB-56179,Furniture,Tables,Realspace Magellan Corner Desk,464.96,4,0.2,149.31
116,CA-2019-010130,2020-09-24,2020-09-24,Same Day,CUS-01075,Sarah Martinez,Home Office,United States,Dallas,Texas,21813,Central,FUR-BOO-64460,Furniture,Bookcases,Way2Furn 5-Shelf,76.95,3,0.3,20.19
117,CA-2019-010130,2020-09-24,2020-09-24,Same Day,CUS-01075,Sarah Martinez,Home Office,United States,Dallas,Texas,21813,Central,FUR-BOO-64460,Furniture,Bookcases,Way2Furn 5-Shelf,76.95,3,0.3,20.19
118,CA-2019-010130,2020-09-24,2020-09-24,Same Day,CUS-01075,Sarah Martinez,Home Office,United States,Dallas,Texas,21813,Central,FUR-BOO-64460,Furniture,Bookcases,Way2Furn 5-Shelf,76.95,3,0.3,20.19
119,CA-2020-010131,2021-09-13,2021-09-16,First Class,CUS-01103,Robert White,Consumer,United States,Baltimore,Maryland,19869,East,TEC-COM-83048,Technology,Computers,Apple MacBook Air,6377.6,7,0,993.52
120,CA-2022-010134,2022-10-09,2022-10-12,First Class,CUS-01106,John Perez,Consumer,United States,Chicago,Illinois,98452,Central,TEC-COP-91205,Technology,Copiers,Canon imageRUNNER 2630,4284.26,9,0.3,1782.69
121,CA-2022-010134,2022-10-09,2022-10-12,First Class,CUS-01106,John Perez,Consumer,United States,Chicago,Illinois,98452,Central,TEC-COP-91205,Technology,Copiers,Canon imageRUNNER 2630,4284.26,9,0.3,1782.69
